date,gross_return,cost,net_return,turnover,equity
2012-03-06,-0.005420415485163366,2.5e-05,-0.0054454154851633655,0.125,1.528228541667522
2012-03-07,0.0024602811599813146,0.0,0.0024602811599813146,0.0,1.5319884135567323
2012-03-08,0.001948115171058043,0.0,0.001948115171058043,0.0,1.5349729034270674
2012-03-09,0.0026990019656888964,0.0,0.0026990019656888964,0.0,1.5391157983106962
2012-03-12,-2.25945459604443e-05,0.0,-2.25945459604443e-05,0.0,1.539081022688053
2012-03-13,0.005295087591440414,2.5e-05,0.0052700875914404146,0.125,1.5471921144879426
2012-03-14,-0.006312310070893487,0.0,-0.006312310070893487,0.0,1.5374257581220534
2012-03-15,0.003323220539910743,0.0,0.003323220539910743,0.0,1.5425349629800325
2012-03-16,0.001113810393181855,0.0,0.001113810393181855,0.0,1.544253054453646
2012-03-19,0.0022018080808859086,5e-05,0.0021518080808859085,0.25,1.547575990655152
2012-03-20,-0.0035451082565416403,2.5e-05,-0.00357010825654164,0.125,1.5420509768332884
2012-03-21,0.0010825413850244076,2.5e-05,0.0010575413850244075,0.125,1.543681759559107
2012-03-22,-0.0041780118219970075,0.0,-0.0041780118219970075,0.0,1.537232238918268
2012-03-23,0.005048299535954454,0.0,0.005048299535954454,0.0,1.5449926477166533
2012-03-26,0.009585040197285385,0.0,0.009585040197285385,0.0,1.559801464349528
2012-03-27,-0.0010417931743767345,0.0,-0.0010417931743767345,0.0,1.5581764738305859
2012-03-28,-0.0035443426516284515,0.0,-0.0035443426516284515,0.0,1.5526537624956243
2012-03-29,-0.0002325588282591634,0.0,-0.0002325588282591634,0.0,1.5522926791559262
2012-03-30,-0.0005624804491685675,0.0,-0.0005624804491685675,0.0,1.5514195448725134
2012-04-02,0.0059578006458661514,0.0,0.0059578006458661514,0.0,1.5606625932389642
2012-04-03,-0.005541192648917517,2.5e-05,-0.005566192648917517,0.125,1.5519756445850368
2012-04-04,-0.006686682448507869,2.5e-05,-0.006711682448507869,0.125,1.5415592768907638
2012-04-05,0.002020366696537143,2.5e-05,0.0019953666965371432,0.125,1.5446352529326095
2012-04-09,8.301975721652921e-05,0.0,8.301975721652921e-05,0.0,1.5447634881762962
2012-04-10,-0.004023810809093517,0.0,-0.004023810809093517,0.0,1.5385476521550794
2012-04-11,0.0016968614597333703,0.0,0.0016968614597333703,0.0,1.5411583543699847
2012-04-12,0.0055306760629413865,0.0,0.0055306760629413865,0.0,1.549682001989701
2012-04-13,-0.0033020198208144197,0.0,-0.0033020198208144197,0.0,1.5445649213031716
2012-04-16,-0.0002581666927542331,0.0,-0.0002581666927542331,0.0,1.5441661660856945
2012-04-17,0.005222382983305018,0.0,0.005222382983305018,0.0,1.5522303931948556
2012-04-18,-0.001953766417311917,0.0,-0.001953766417311917,0.0,1.5491976975807005
2012-04-19,-0.0019982335467152307,0.0,-0.0019982335467152307,0.0,1.5461020387709008
2012-04-20,0.001496893241491798,0.0,0.001496893241491798,0.0,1.5484163884633937
2012-04-23,-0.002942596672930578,0.0,-0.002942596672930578,0.0,1.54386002355039
2012-04-24,0.0009785201934756904,0.0,0.0009785201934756904,0.0,1.5453707217593342
2012-04-25,0.006082406930872614,0.0,0.006082406930872614,0.0,1.5547702953481308
2012-04-26,0.003767496242818802,0.0,0.003767496242818802,0.0,1.560627886594301
2012-04-27,0.0021943247174117386,0.0,0.0021943247174117386,0.0,1.564052410940537
2012-04-30,-0.001259804381480531,0.0,-0.001259804381480531,0.0,1.5620820108603688
2012-05-01,0.0012584970847037136,0.0,0.0012584970847037136,0.0,1.5640478865171046
2012-05-02,0.00010797516728890122,0.0,0.00010797516728890122,0.0,1.5642167648492993
2012-05-03,-0.0040046765781651394,0.0,-0.0040046765781651394,0.0,1.557952582607934
2012-05-04,-0.004854999114381628,0.0,-0.004854999114381628,0.0,1.5503887241991239
2012-05-07,0.0008035318879386355,0.0,0.0008035318879386355,0.0,1.5516345109777185
2012-05-08,-0.002946639556962255,0.0,-0.002946639556962255,0.0,1.5470624033497238
2012-05-09,-0.0026709091302624666,0.0,-0.0026709091302624666,0.0,1.5429303402515313
2012-05-10,-2.4384359685339363e-05,0.0,-2.4384359685339363e-05,0.0,1.5428927168831452
2012-05-11,-7.26317237756402e-05,0.0,-7.26317237756402e-05,0.0,1.542780653925517
2012-05-14,-0.004201477110365323,0.0,-0.004201477110365323,0.0,1.5362986963217347
2012-05-15,-0.0025946097958954167,0.0,-0.0025946097958954167,0.0,1.5323126006748369
2012-05-16,-0.002578089833127517,0.0,-0.002578089833127517,0.0,1.5283621611378637
2012-05-17,-0.0031383333348048575,0.0,-0.0031383333348048575,0.0,1.5235656512199103
2012-05-18,-0.0027468938629139905,0.0,-0.0027468938629139905,0.0,1.5193805780828276
2012-05-21,0.006034731647466818,2.5e-05,0.006009731647466818,0.125,1.5285116476274783
2012-05-22,-0.003368860836741039,0.0,-0.003368860836741039,0.0,1.5233623045992835
2012-05-23,0.0009750031298990935,2.5e-05,0.0009500031298990936,0.125,1.524809503556623
2012-05-24,-0.0006638499149952543,0.0,-0.0006638499149952543,0.0,1.523797258897303
2012-05-25,0.00045299158860284683,0.0,0.00045299158860284683,0.0,1.5244875262383197
2012-05-29,0.003136159500422883,0.0,0.003136159500422883,0.0,1.5292685622770081
2012-05-30,-0.0019304358761722956,0.0,-0.0019304358761722956,0.0,1.5263164073800863
2012-05-31,0.00133840482827495,0.0,0.00133840482827495,0.0,1.5283592366291991
2012-06-01,0.0014327849615492771,2.5e-05,0.001407784961549277,0.125,1.5305108377783707
2012-06-04,-0.0010981031313625073,2.5e-05,-0.0011231031313625073,0.125,1.5287919162638774
2012-06-05,0.0012779736666517494,2.5e-05,0.0012529736666517493,0.125,1.530707452276746
2012-06-06,0.005999576750521124,2.5e-05,0.005974576750521124,0.125,1.539852781432968
2012-06-07,-0.0032791371309437295,0.0,-0.0032791371309437295,0.0,1.5348033930011842
2012-06-08,0.0041278154563230834,0.0,0.0041278154563230834,0.0,1.5411387781692316
2012-06-11,-0.005425945522803927,0.0,-0.005425945522803927,0.0,1.5327766431158047
2012-06-12,0.003880942150352673,0.0,0.003880942150352673,0.0,1.538725260597149
2012-06-13,-0.0005345727524635469,0.0,-0.0005345727524635469,0.0,1.5379026999993066
2012-06-14,0.003950905260627899,0.0,0.003950905260627899,0.0,1.5439788078670678
2012-06-15,0.0043679834228715075,0.0,0.0043679834228715075,0.0,1.5507228817050962
2012-06-18,0.0031958185147637486,0.0,0.0031958185147637486,0.0,1.5556787106017171
2012-06-19,0.002936458027589378,2.5e-05,0.0029114580275893783,0.125,1.5602080038720483
2012-06-20,-0.0006827030291648994,0.0,-0.0006827030291648994,0.0,1.5591428451416773
2012-06-21,-0.013491120663273112,0.0,-0.013491120663273112,0.0,1.5381082608865921
2012-06-22,0.001141074804462655,2.5e-05,0.001116074804462655,0.125,1.5398249047631036
2012-06-25,-0.0023119547545966124,0.0,-0.0023119547545966124,0.0,1.5362648992532901
2012-06-26,0.00041236727152080266,0.0,0.00041236727152080266,0.0,1.5368984046181284
2012-06-27,0.0027537429389959678,0.0,0.0027537429389959678,0.0,1.5411306277477996
2012-06-28,-0.001530743453136696,0.0,-0.001530743453136696,0.0,1.5387715521289462
2012-06-29,0.012048386674336928,0.0,0.012048386674336928,0.0,1.5573112667924651
2012-07-02,0.0033313937832080004,0.0,0.0033313937832080004,0.0,1.5624992838651774
2012-07-03,0.0035595691579631827,0.0,0.0035595691579631827,0.0,1.5680611081253633
2012-07-05,-0.0020314876744440824,0.0,-0.0020314876744440824,0.0,1.5648756113114315
2012-07-06,-0.0028648547597834445,0.0,-0.0028648547597834445,0.0,1.5603924699678968
2012-07-09,0.0011113666776247921,0.0,0.0011113666776247921,0.0,1.5621266381630359
2012-07-10,-0.004938110448048039,0.0,-0.004938110448048039,0.0,1.5544126842899488
2012-07-11,0.0003074903120947464,0.0,0.0003074903120947464,0.0,1.5548906511313652
2012-07-12,-0.0008378685506956474,0.0,-0.0008378685506956474,0.0,1.5535878571550115
2012-07-13,0.006476955804997714,0.0,0.006476955804997714,0.0,1.5636503770449857
2012-07-16,0.00017442963958508306,2.5e-05,0.00014942963958508305,0.125,1.5638840327572645
2012-07-17,0.0017251551354087319,0.0,0.0017251551354087319,0.0,1.5665819753275594
2012-07-18,0.0019452427285478607,0.0,0.0019452427285478607,0.0,1.5696293575237394
2012-07-19,8.166980211478381e-05,0.0,8.166980211478381e-05,0.0,1.5697575488427622
2012-07-20,-0.001926473658685729,0.0,-0.001926473658685729,0.0,1.5667334522743936
2012-07-23,-0.002988491322460693,0.0,-0.002988491322460693,0.0,1.5620512829476627
2012-07-24,-0.0014933488234962211,0.0,-0.0014933488234962211,0.0,1.559718595502032
2012-07-25,-0.0005406912515189127,0.0,-0.0005406912515189127,0.0,1.5588752693026127
2012-07-26,0.003686544208092682,0.0,0.003686544208092682,0.0,1.564622131897799
2012-07-27,0.0041001499030650645,0.0,0.0041001499030650645,0.0,1.5710373171802332
2012-07-30,0.001420044812589033,0.0,0.001420044812589033,0.0,1.5732682605728787
2012-07-31,-0.0027019767729003497,5e-05,-0.00275197677290035,0.25,1.5689386628622408
2012-08-01,-0.003757681699026072,2.5e-05,-0.003782681699026072,0.125,1.5630038672953375
2012-08-02,-0.0006961540168170938,0.0,-0.0006961540168170938,0.0,1.5619157758748192
2012-08-03,0.00678581055305405,0.0,0.00678581055305405,0.0,1.572514640429732
2012-08-06,0.0020835830727491816,0.0,0.0020835830727491816,0.0,1.575791105316182
2012-08-07,-0.00027788032681806685,0.0,-0.00027788032681806685,0.0,1.5753532239688397
2012-08-08,-0.0016067682160139651,0.0,-0.0016067682160139651,0.0,1.5728219964795715
2012-08-09,0.0011869650945109944,5e-05,0.0011369650945109945,0.25,1.574610240189448
2012-08-10,0.0008613843738230903,2.5e-05,0.0008363843738230903,0.125,1.5759272195892042
2012-08-13,-0.0019775399294758994,2.5e-05,-0.0020025399294758993,0.125,1.5727713624060289
2012-08-14,-0.0019243021630924034,0.0,-0.0019243021630924034,0.0,1.5697448750713012
2012-08-15,1.127932151361033e-05,2.5e-05,-1.3720678486389671e-05,0.125,1.5697233371065646
2012-08-16,0.003602196170303551,2.5e-05,0.003577196170303551,0.125,1.5753385454164983
2012-08-17,0.0024114249569191226,2.5e-05,0.0023864249569191228,0.125,1.579097972636877
2012-08-20,-0.0003280988438937732,0.0,-0.0003280988438937732,0.0,1.5785798724176598
2012-08-21,0.0004029630187822597,2.5e-05,0.0003779630187822597,0.125,1.5791765172316279
2012-08-22,0.0018750153305869682,0.0,0.0018750153305869682,0.0,1.58213749741114
2012-08-23,-0.004637947251868682,0.0,-0.004637947251868682,0.0,1.5747996271529434
2012-08-24,0.0020062845861951173,0.0,0.0020062845861951173,0.0,1.5779591233712464
2012-08-27,0.0005000967598493278,0.0,0.0005000967598493278,0.0,1.5787482556160193
2012-08-28,0.0008067234679630941,0.0,0.0008067234679630941,0.0,1.5800218688838306
2012-08-29,-0.00048658136686249853,2.5e-05,-0.0005115813668624985,0.125,1.5792135591364744
2012-08-30,-0.00488919522981042,0.0,-0.00488919522981042,0.0,1.5714924757362925
2012-08-31,0.005198484386571639,0.0,0.005198484386571639,0.0,1.5796618548350223
2012-09-04,0.0020368770300920047,2.5e-05,0.002011877030092005,0.125,1.5828399402360775
2012-09-05,-0.0013574743565110542,2.5e-05,-0.0013824743565110543,0.125,1.5806517046082396
2012-09-06,0.009747361749676803,0.0,0.009747361749676803,0.0,1.5960588885732994
2012-09-07,0.0026448063750890705,0.0,0.0026448063750890705,0.0,1.6002801552968156
2012-09-10,-0.004537635473480683,0.0,-0.004537635473480683,0.0,1.5930186672966336
2012-09-11,0.0029186395379200286,2.5e-05,0.0028936395379200288,0.125,1.5976282890969677
2012-09-12,0.001496215518374741,0.0,0.001496215518374741,0.0,1.600018685335709
2012-09-13,0.011561980524199433,0.0,0.011561980524199433,0.0,1.618518070213916
2012-09-14,0.0029076147253569024,0.0,0.0029076147253569024,0.0,1.623224097188126
2012-09-17,-0.0018272307293515089,0.0,-0.0018272307293515089,0.0,1.62025809223712
2012-09-18,-0.0014254558814200818,0.0,-0.0014254558814200818,0.0,1.617948485810122
2012-09-19,0.0007280751680745212,0.0,0.0007280751680745212,0.0,1.6191264739258642
2012-09-20,-0.003754938517295678,0.0,-0.003754938517295678,0.0,1.6130467535645467
2012-09-21,0.0009699009465890529,0.0,0.0009699009465890529,0.0,1.6146112491377216
2012-09-24,-0.0013691867597959706,0.0,-0.0013691867597959706,0.0,1.6124005447931844
2012-09-25,-0.008427362371589225,2.5e-05,-0.008452362371589226,0.125,1.5987719511004446
2012-09-26,-0.003718919883300767,0.0,-0.003718919883300767,0.0,1.5928262463026335
2012-09-27,0.00924900747280856,0.0,0.00924900747280856,0.0,1.6075583081575724
2012-09-28,-0.006175234710920671,0.0,-0.006175234710920671,0.0,1.5976312582932088
2012-10-01,0.0026524860475672513,0.0,0.0026524860475672513,0.0,1.6018689529149888
2012-10-02,0.0020459664492161883,0.0,0.0020459664492161883,0.0,1.605146323048694
2012-10-03,0.00011922327597208016,0.0,0.00011922327597208016,0.0,1.6053376938517425
2012-10-04,0.004270226156668347,0.0,0.004270226156668347,0.0,1.6121928488623138
