strategy,segment,parameters,cumulative_return,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,hit_rate,average_daily_turnover,number_of_trades,exposure_percentage,observations
sma_crossover,out_of_sample,"{""long_window"": 200, ""short_window"": 20}",0.6690768341477165,0.07190961951136199,0.17484270054785736,0.4856742600581575,-0.3527873140916665,0.20383278150607578,0.5094136632598171,0.008068854222700376,195,0.6395527549373702,1859
sma_crossover,full_sample,"{""long_window"": 200, ""short_window"": 20}",2.1039329873221337,0.0721712014578908,0.15846923986951275,0.5197333470707675,-0.35278731409166697,0.20457425359444217,0.499755859375,0.007847377232142856,405,0.6346261160714284,4096
sma_crossover,in_sample,"{""long_window"": 250, ""short_window"": 20}",0.6730624237715619,0.059690004786301376,0.145155361054735,0.47237882895663896,-0.25034970583925265,0.23842650258446002,0.4765310683951721,0.006865061625902037,194,0.6106392489941884,2237
sma_crossover,out_of_sample,"{""long_window"": 250, ""short_window"": 20}",0.8113706675467702,0.0838636102150856,0.17359621081343102,0.5517623748008775,-0.3530213620362046,0.23755959053402792,0.5137170521785906,0.007185122569737953,176,0.6342887881349418,1859
sma_crossover,full_sample,"{""long_window"": 250, ""short_window"": 20}",2.0305361993945255,0.07059382319026897,0.15869871331400515,0.5098988625820464,-0.3530213620362048,0.1999704006100035,0.493408203125,0.007010323660714284,370,0.6213727678571427,4096
sma_crossover,in_sample,"{""long_window"": 100, ""short_window"": 50}",1.3486935802713793,0.10096601388310056,0.14181164749546324,0.7495332947735885,-0.21483823565723525,0.46996296340930344,0.5221278497988378,0.009611086276262852,273,0.6360559422696211,2237
sma_crossover,out_of_sample,"{""long_window"": 100, ""short_window"": 50}",0.5395505498087569,0.06023592420892321,0.1952070485188953,0.39922523278747246,-0.4206701730730098,0.143190385400747,0.5137170521785906,0.009797894413279027,227,0.62875585952509,1859
sma_crossover,full_sample,"{""long_window"": 100, ""short_window"": 50}",2.6159324928390926,0.08228996726268734,0.16816245593832124,0.5555384715956113,-0.4206701730730096,0.19561635820661208,0.518310546875,0.009695870535714286,500,0.6327427455357142,4096
sma_crossover,in_sample,"{""long_window"": 150, ""short_window"": 50}",1.2772251968983053,0.09714011675603396,0.1432079338267692,0.7192967840498409,-0.2013111132183657,0.4825372787575039,0.5069289226642825,0.0062903122804776794,187,0.6413564084552013,2237
sma_crossover,out_of_sample,"{""long_window"": 150, ""short_window"": 50}",0.6672940771922655,0.07175434659403201,0.20048393110502,0.44881826870900676,-0.4669018202407609,0.1536818737545967,0.5142549757934374,0.0068777376469684156,169,0.6307538615230921,1859
sma_crossover,full_sample,"{""long_window"": 150, ""short_window"": 50}",2.7968040832215286,0.08554491835784517,0.17158961562902447,0.5658622223682769,-0.46690182024076043,0.18321821558488136,0.51025390625,0.006556919642857142,356,0.6365443638392856,4096
sma_crossover,in_sample,"{""long_window"": 200, ""short_window"": 50}",0.9857293416408133,0.08034123725176401,0.14973160225736587,0.5913410491230381,-0.22836179439678472,0.3518155804651323,0.4921770227983907,0.005300466185580177,142,0.6361198033080016,2237
sma_crossover,out_of_sample,"{""long_window"": 200, ""short_window"": 50}",0.6247094092488834,0.0680020061456792,0.2011805716740995,0.4305085265846851,-0.46805305326947766,0.14528696196011695,0.5153308230231307,0.005686621071236455,138,0.6365557519403672,1859
sma_crossover,full_sample,"{""long_window"": 200, ""short_window"": 50}",2.226233145585433,0.07472341536858917,0.17496722526905303,0.501038792392262,-0.46805305326947766,0.15964731956479256,0.502685546875,0.005475725446428571,280,0.636317661830357,4096
sma_crossover,in_sample,"{""long_window"": 250, ""short_window"": 50}",0.7285797404706615,0.06359410163269397,0.1501305161891814,0.4862572498448205,-0.2572089415133889,0.2472468540887938,0.4845775592311131,0.004534133725014369,128,0.6112778593779934,2237
sma_crossover,out_of_sample,"{""long_window"": 250, ""short_window"": 50}",0.6973859819275967,0.0743562461070173,0.2039965631326539,0.45635090254279587,-0.4620622362465332,0.16092257768354942,0.5121032813340506,0.004764466302927841,121,0.6298701298701297,1859
sma_crossover,full_sample,"{""long_window"": 250, ""short_window"": 50}",1.934067020118953,0.0684651543337571,0.1766269871059215,0.4649399287599539,-0.4620622362465334,0.14817301428898316,0.4970703125,0.004638671875,249,0.619716099330357,4096
sma_crossover,in_sample,"{""long_window"": 150, ""short_window"": 100}",0.9616644214196997,0.07885835511326866,0.15737321298884158,0.5613885992764149,-0.24847829337960492,0.31736516715685614,0.5113991953509164,0.006226451242097196,176,0.6433680311641865,2237
sma_crossover,out_of_sample,"{""long_window"": 150, ""short_window"": 100}",0.7052089050437031,0.07502612208031101,0.2154545897268567,0.44617169156987735,-0.48275314362562016,0.15541301609522923,0.514792899408284,0.007031430108353184,171,0.614923538000461,1859
sma_crossover,full_sample,"{""long_window"": 150, ""short_window"": 100}",2.3450476401122637,0.07711737753650616,0.18599563473054734,0.49398762517326533,-0.4907481518786485,0.15714247163497344,0.512939453125,0.006591796874999999,347,0.630458286830357,4096
sma_crossover,in_sample,"{""long_window"": 200, ""short_window"": 100}",0.8582882809119472,0.07229880983792047,0.16226413827890715,0.5118178886734798,-0.2549936286776734,0.28353182866898347,0.4997764863656683,0.004278689571492432,119,0.6395044383421673,2237
sma_crossover,out_of_sample,"{""long_window"": 200, ""short_window"": 100}",1.158692468961564,0.10994591159848843,0.21450624422865489,0.5957414522638805,-0.4705939776047722,0.23363221127072387,0.5174825174825175,0.005379236148466917,133,0.617305771151925,1859
sma_crossover,full_sample,"{""long_window"": 200, ""short_window"": 100}",3.0114729171641477,0.08922431492438787,0.18778983307935976,0.5503787291810243,-0.47059397760477206,0.18959935564522423,0.5078125,0.004778180803571428,252,0.6294294084821427,4096
sma_crossover,in_sample,"{""long_window"": 250, ""short_window"": 100}",0.5861679013064802,0.05334225705708895,0.16247328439883268,0.40168363637421334,-0.2789081878661652,0.19125382250407563,0.4908359409924005,0.003959384379590012,111,0.6157162015454369,2237
sma_crossover,out_of_sample,"{""long_window"": 250, ""short_window"": 100}",0.9279198962255506,0.09306436620997882,0.21649576743787052,0.5214173949804481,-0.47059397760477206,0.19775936505532343,0.5174825174825175,0.004188119572734956,105,0.6254898947206637,1859
sma_crossover,full_sample,"{""long_window"": 250, ""short_window"": 100}",2.058004655683076,0.07118830674790733,0.18892208278719597,0.45985289546793384,-0.47059397760477206,0.15127330594038066,0.5029296875,0.004063197544642857,216,0.6201520647321427,4096
